t,item,fy_end,n_q,fy,sum_q,err
AA,revenue,2016-12-31,0,9318000000.0,,
AA,revenue,2017-12-31,4,11652000000.0,11652000000.0,0.0
AA,revenue,2018-12-31,4,13403000000.0,13403000000.0,0.0
AA,revenue,2019-12-31,4,10433000000.0,10433000000.0,0.0
AA,revenue,2020-12-31,4,9286000000.0,9286000000.0,0.0
AA,revenue,2021-12-31,4,12152000000.0,12152000000.0,0.0
AA,revenue,2022-12-31,4,12451000000.0,12451000000.0,0.0
AA,revenue,2023-12-31,4,10551000000.0,10551000000.0,0.0
AA,revenue,2024-12-31,4,11895000000.0,11895000000.0,0.0
AA,revenue,2025-12-31,4,12831000000.0,12831000000.0,0.0
AA,net_income,2014-12-31,0,-256000000.0,,
AA,net_income,2015-12-31,2,-863000000.0,,
AA,net_income,2016-12-31,4,-400000000.0,-396000000.0,0.01
AA,net_income,2017-12-31,4,217000000.0,217000000.0,0.0
AA,net_income,2018-12-31,4,227000000.0,227000000.0,0.0
AA,net_income,2019-12-31,4,-1125000000.0,-1125000000.0,0.0
AA,net_income,2020-12-31,4,-170000000.0,-170000000.0,0.0
AA,net_income,2021-12-31,4,429000000.0,429000000.0,0.0
AA,net_income,2022-12-31,4,-123000000.0,-123000000.0,0.0
AA,net_income,2023-12-31,4,-651000000.0,-651000000.0,0.0
AA,net_income,2024-12-31,4,60000000.0,60000000.0,0.0
AA,net_income,2025-12-31,4,1157000000.0,1157000000.0,0.0
AA,ocf,2014-12-31,0,842000000.0,,
AA,ocf,2015-12-31,1,875000000.0,,
AA,ocf,2016-12-31,2,-311000000.0,,
AA,ocf,2017-12-31,4,1224000000.0,1224000000.0,0.0
AA,ocf,2018-12-31,4,448000000.0,448000000.0,0.0
AA,ocf,2019-12-31,4,686000000.0,686000000.0,0.0
AA,ocf,2020-12-31,4,394000000.0,394000000.0,0.0
AA,ocf,2021-12-31,4,920000000.0,920000000.0,0.0
AA,ocf,2022-12-31,4,822000000.0,822000000.0,0.0
